BusinessDate,Weekday,Hotel Name,Currency,Inncode,FacilityID,Revenue,Sold,Available,Occ,ADR,RevPAR,F&B Revenue,TotalRevenue
1/12/2021,Tuesday,Comfort Inn Orlando,USD,ORLFL,60421.0,"5,573.56",62,76,81.58,89.9,73.34,0,"5,703.73"
1/12/2021,Tuesday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"4,323.44",51,71,71.83,84.77,60.89,0,"4,348.19"
1/13/2021,Wednesday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"3,975.66",50,99,50.51,79.51,40.16,0,"4,035.16"
1/13/2021,Wednesday,Hampton Inn Bowie,USD,DENMD,15671.0,"3,090.93",37,103,35.92,83.54,30.01,72.75,"3,163.68"
1/13/2021,Wednesday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"3,059.66",40,108,37.04,76.49,28.33,80,"3,205.41"
1/13/2021,Wednesday,Comfort Inn Orlando,USD,ORLFL,60421.0,"5,378.78",58,76,76.32,92.74,70.77,0,"5,440.40"
1/13/2021,Wednesday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"4,312.31",53,71,74.65,81.36,60.74,0,"4,317.26"
1/14/2021,Thursday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,825.82",36,99,36.36,78.5,28.54,200,"3,071.32"
1/14/2021,Thursday,Hampton Inn Bowie,USD,DENMD,15671.0,"2,614.02",31,103,30.1,84.32,25.38,40.25,"2,654.27"
1/14/2021,Thursday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,166.45",31,108,28.7,69.89,20.06,0,"2,211.95"
1/14/2021,Thursday,Comfort Inn Orlando,USD,ORLFL,60421.0,"7,445.99",76,76,100.0,97.97,97.97,0,"7,531.32"
1/14/2021,Thursday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,833.86",49,71,69.01,78.24,54.0,0,"3,838.81"
1/15/2021,Friday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"4,869.51",55,99,55.56,88.54,49.19,0,"4,929.51"
1/15/2021,Friday,Hampton Inn Bowie,USD,DENMD,15671.0,"3,109.90",39,103,37.86,79.74,30.19,38,"3,270.59"
